"subject","radar","recording","name","details"
"S02_RJS","1","xethru_recording_20260720_155237_S02_YJS_radar1","xethru_datafloat_20260720_155237.dat","xethru_datafloat_20260720_155237.dat
공유됨
7월 20일
36.8MB"
"S02_RJS","3","xethru_recording_20260720_155237_S02_YJS_radar3","xethru_datafloat_20260720_155237.dat","xethru_datafloat_20260720_155237.dat
공유됨
7월 20일
36.8MB"
"S03_PSJ","1","xethru_recording_20260721_142132_S03_PSJ_radar1","xethru_datafloat_20260721_142133.dat","xethru_datafloat_20260721_142133.dat
공유됨
7월 21일
42MB"
"S04_KTW","1","xethru_recording_20260721_153937_S04_KTW_radar1","xethru_datafloat_20260721_153937.dat","xethru_datafloat_20260721_153937.dat
공유됨
7월 21일
50.1MB"
"S04_KTW","2","xethru_recording_20260721_153937_S04_KTW_radar2","xethru_datafloat_20260721_153937.dat","xethru_datafloat_20260721_153937.dat
공유됨
7월 21일
50.1MB"
"S04_KTW","3","xethru_recording_20260721_153937_S04_KTW_radar3","xethru_datafloat_20260721_153937.dat","xethru_datafloat_20260721_153937.dat
공유됨
7월 21일
50.1MB"
"S05_LHS","1","xethru_recording_20260721_171833_S05_LHS_radar1","xethru_datafloat_20260721_171833.dat","xethru_datafloat_20260721_171833.dat
공유됨
7월 21일
42.9MB"
"S05_LHS","2","xethru_recording_20260721_171833_S05_LHS_radar2","xethru_datafloat_20260721_171833.dat","xethru_datafloat_20260721_171833.dat
공유됨
7월 21일
42.9MB"
"S06_LDW","3","xethru_recording_20260721_183929_S06_LDW_radar3","xethru_datafloat_20260721_183929.dat","xethru_datafloat_20260721_183929.dat
공유됨
7월 21일
41.7MB"
"S07_KDM","1","xethru_recording_20260721_194450_S07_KDM_radar1","xethru_datafloat_20260721_194450.dat","xethru_datafloat_20260721_194450.dat
공유됨
7월 21일
40.8MB"
"S09_HDH","3","xethru_recording_20260722_143910_S09_HDH_radar3","xethru_datafloat_20260722_143910.dat","xethru_datafloat_20260722_143910.dat
공유됨
7월 22일
43MB"
"S10_JKH","2","xethru_recording_20260722_162759_S10_JKH_radar2","xethru_datafloat_20260722_162759.dat","xethru_datafloat_20260722_162759.dat
공유됨
7월 22일
33.9MB"
