subject,status,marker_count,offset_s,radar_count,note
S01_CMS,OK,14,-2.2,3,
S02_RJS,OK,13,6.2,3,
S03_PSJ,OK,22,-1.9,3,
S04_KTW,OK,27,0.5,3,
S05_LHS,OK,26,3.7,3,
S06_LDW,OK,24,-10.6,3,
S07_KDM,OK,18,-7.7,3,
S08_MDO,OK,16,4.8,3,
S09_HDH,OK,21,-7.4,3,
S10_JKH,OK,24,11.9,3,
S11_SJE,OK,9,-5.1,3,
S12_KDH,OK,7,-6.8,3,
S13_KTW,OK,48,-0.6,3,
S14_MDO,OK,16,8.1,3,
S15_JKH,OK,25,12,3,
S16_LJH,OK,21,1.9,3,
S17_RJS,OK,15,-3.7,3,
S18_LJH,OK,22,-0.199999999999999,3,
S19_CHW,OK,19,-1.6,3,
S20_YSE,OK,20,3.8,3,
S21_PSJ,OK,21,-2.8,3,
S22_KJH,OK,18,-3.2,3,
S23_KDM,OK,23,-0.199999999999999,3,
S24_KHJ,FAILED,NaN,NaN,0,sync_validate:noRadar: No UWB datafloat files
S25_GEC,OK,27,-2.5,3,
S26_LDW,OK,22,-0.0999999999999996,3,
S27_HDH,OK,22,3.7,3,
S28_KDH,OK,18,3.3,3,
S29_LHS,OK,23,0.699999999999999,3,
S30_SJE,OK,5,11.6,3,
