subject,pair_index,scenario_class,scenario,start_s,end_s,duration_s,selection_status,selection_source
S07_KDM,1,1,1번 호흡,16.572,214.345,197.773,자동 점검 통과,GPT 최종 선택
S07_KDM,2,2,2번 호흡,275.598,646.78,371.182,자동 점검 통과,GPT 최종 선택
S07_KDM,3,3,3번 픽업,766.097,784.66,18.563,자동 점검 통과,GPT 최종 선택
S07_KDM,4,3,3번 픽업,799.32,815.6,16.28,자동 점검 통과,GPT 최종 선택
S07_KDM,5,4,4번 낙상,905.98,922.08,16.1,자동 점검 통과,GPT 최종 선택
S07_KDM,6,4,4번 낙상,933.84,979.468,45.628,자동 점검 통과,GPT 최종 선택
S07_KDM,7,4,4번 낙상,988.268,1035.108,46.84,자동 점검 통과,GPT 최종 선택
S07_KDM,8,4,4번 낙상,1046.708,1056.98,10.272,자동 점검 통과,GPT 최종 선택
S07_KDM,9,5,5번 코스,1133.8,1320.304,186.504,자동 점검 통과,GPT 최종 선택
S07_KDM,10,6,6번 왕복,1377.064,1400.7,23.636,자동 점검 통과,GPT 최종 선택
S07_KDM,11,7,7번 자유,1426.924,1439.6,12.676,자동 점검 통과,GPT 최종 선택
S08_MDO,1,1,1번 호흡,23.796,220.164,196.368,자동 점검 통과,GPT 최종 선택
S08_MDO,2,2,2번 호흡,260.444,645.896,385.452,자동 점검 통과,GPT 최종 선택
S08_MDO,3,3,3번 픽업,698.452,707.68,9.228,자동 점검 통과,GPT 최종 선택
S08_MDO,4,3,3번 픽업,721.928,732.524,10.596,자동 점검 통과,GPT 최종 선택
S08_MDO,5,4,4번 낙상,808.628,822.044,13.416,자동 점검 통과,GPT 최종 선택
S08_MDO,6,4,4번 낙상,831.704,876.16,44.456,자동 점검 통과,GPT 최종 선택
S08_MDO,7,4,4번 낙상,885.78,933.436,47.656,자동 점검 통과,GPT 최종 선택
S08_MDO,8,4,4번 낙상,948.336,968.676,20.34,자동 점검 통과,GPT 최종 선택
S08_MDO,9,5,5번 코스,1021.268,1206.628,185.36,자동 점검 통과,GPT 최종 선택
S08_MDO,10,6,6번 왕복,1226.092,1247.944,21.852,자동 점검 통과,GPT 최종 선택
S08_MDO,11,7,7번 자유,1274.416,1286.188,11.772,자동 점검 통과,GPT 최종 선택
S09_HDH,1,1,1번 호흡,16.915,209.824,192.909,자동 점검 통과,GPT 최종 선택
S09_HDH,2,2,2번 호흡,272.428,647.296,374.868,자동 점검 통과,GPT 최종 선택
S09_HDH,3,3,3번 픽업,781.87,803.275,21.405,자동 점검 통과,GPT 최종 선택
S09_HDH,4,3,3번 픽업,825.56,841.492,15.932,자동 점검 통과,GPT 최종 선택
S09_HDH,5,4,4번 낙상,951.802,969.796,17.994,자동 점검 통과,GPT 최종 선택
S09_HDH,6,4,4번 낙상,987.943,1036.132,48.189,자동 점검 통과,GPT 최종 선택
S09_HDH,7,4,4번 낙상,1049.458,1099.08,49.622,자동 점검 통과,GPT 최종 선택
S09_HDH,8,4,4번 낙상,1121.848,1134.633,12.785,자동 점검 통과,GPT 최종 선택
S09_HDH,9,5,5번 코스,1206.624,1394.844,188.22,자동 점검 통과,GPT 최종 선택
S09_HDH,10,6,6번 왕복,1445.035,1473.045,28.01,자동 점검 통과,GPT 최종 선택
S09_HDH,11,7,7번 자유,1499.321,1510.877,11.556,자동 점검 통과,GPT 최종 선택
S17_RJS,1,1,1번 호흡,15.873,209.809,193.937,자동 점검 통과,GPT 최종 선택
S17_RJS,2,2,2번 호흡,232.946,604.314,371.368,자동 점검 통과,GPT 최종 선택
S17_RJS,3,3,3번 픽업,663.212,676.839,13.627,자동 점검 통과,GPT 최종 선택
S17_RJS,4,3,3번 픽업,692.641,705.416,12.775,자동 점검 통과,GPT 최종 선택
S17_RJS,5,4,4번 낙상,756.347,770.617,14.27,자동 점검 통과,GPT 최종 선택
S17_RJS,6,4,4번 낙상,782.38,828.091,45.711,자동 점검 통과,GPT 최종 선택
