fold,test_subject,validation_subject,epochs,accuracy,balanced_accuracy,macro_f1,baseline_accuracy,last_train_accuracy,last_val_accuracy
1,S07_KDM,S08_MDO,33,1.0,1.0,1.0,1.0,0.9886363636363636,1.0
2,S08_MDO,S09_HDH,31,1.0,1.0,1.0,1.0,0.9886363636363636,1.0
3,S09_HDH,S17_RJS,30,0.9090909090909091,0.8571428571428571,0.8095238095238094,0.9090909090909091,0.9886363636363636,1.0
4,S17_RJS,S18_LJH,33,1.0,1.0,1.0,0.8181818181818182,1.0,0.9090909090909091
5,S18_LJH,S19_CHW,28,0.8181818181818182,0.9285714285714286,0.9047619047619048,0.9090909090909091,1.0,1.0
6,S19_CHW,S21_PSJ,26,1.0,1.0,1.0,1.0,0.9886363636363636,1.0
7,S21_PSJ,S23_KDM,36,1.0,1.0,1.0,1.0,0.9886363636363636,1.0
8,S23_KDM,S26_LDW,38,0.9090909090909091,0.8571428571428571,0.8095238095238094,1.0,0.9886363636363636,1.0
9,S26_LDW,S28_KDH,30,1.0,1.0,1.0,1.0,0.9886363636363636,1.0
10,S28_KDH,S07_KDM,24,1.0,1.0,1.0,1.0,0.9886363636363636,1.0
