subject,task,label,start_s,end_s,source,confidence
S07_KDM,S01_angle,FACE_R1,30.45850000000005,38.45850000000005,화면 1분+회전 피크,A
S07_KDM,S01_angle,FACE_R1,34.45850000000005,42.45850000000005,화면 1분+회전 피크,A
S07_KDM,S01_angle,FACE_R1,38.45850000000005,46.45850000000005,화면 1분+회전 피크,A
S07_KDM,S01_angle,FACE_R1,42.45850000000005,50.45850000000005,화면 1분+회전 피크,A
S07_KDM,S01_angle,FACE_R1,46.45850000000005,54.45850000000005,화면 1분+회전 피크,A
S07_KDM,S01_angle,FACE_R1,50.45850000000005,58.45850000000005,화면 1분+회전 피크,A
S07_KDM,S01_angle,FACE_R1,54.45850000000005,62.45850000000005,화면 1분+회전 피크,A
S07_KDM,S01_angle,FACE_R1,58.45850000000005,66.45850000000004,화면 1분+회전 피크,A
S07_KDM,S01_angle,FACE_R1,62.45850000000005,70.45850000000004,화면 1분+회전 피크,A
S07_KDM,S01_angle,FACE_R1,66.45850000000004,74.45850000000004,화면 1분+회전 피크,A
S07_KDM,S01_angle,FACE_R1,70.45850000000004,78.45850000000004,화면 1분+회전 피크,A
S07_KDM,S01_angle,FACE_R2,88.4,96.4,회전 피크 사이,A
S07_KDM,S01_angle,FACE_R2,92.4,100.4,회전 피크 사이,A
S07_KDM,S01_angle,FACE_R2,96.4,104.4,회전 피크 사이,A
S07_KDM,S01_angle,FACE_R2,100.4,108.4,회전 피크 사이,A
S07_KDM,S01_angle,FACE_R2,104.4,112.4,회전 피크 사이,A
S07_KDM,S01_angle,FACE_R2,108.4,116.4,회전 피크 사이,A
S07_KDM,S01_angle,FACE_R2,112.4,120.4,회전 피크 사이,A
S07_KDM,S01_angle,FACE_R2,116.4,124.4,회전 피크 사이,A
S07_KDM,S01_angle,FACE_R2,120.4,128.4,회전 피크 사이,A
S07_KDM,S01_angle,FACE_R2,124.4,132.4,회전 피크 사이,A
S07_KDM,S01_angle,FACE_R2,128.4,136.4,회전 피크 사이,A
