task,family,encoder,decoder,epochs,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_subjects
S01_angle,SNN,direct,mean_current,16,0.6556747600225861,0.4782608695652174,0.4827624066754502,0.4720183291611863,"S26_LDW,S28_KDH"
S01_angle,SNN,direct,last_membrane,32,0.5443954797329726,0.34782608695652173,0.35391963109354413,0.33121450970421223,"S26_LDW,S28_KDH"
S01_angle,SNN,direct,max_membrane,27,0.3420045045045044,0.43478260869565216,0.42534036012296883,0.3946535103833167,"S26_LDW,S28_KDH"
S01_angle,SNN,rate,mean_current,43,0.61639349013811,0.43478260869565216,0.4391743522178304,0.4386973180076628,"S26_LDW,S28_KDH"
S01_angle,SNN,rate,last_membrane,30,0.5826904843175181,0.4057971014492754,0.4108476064997804,0.3896147164512982,"S26_LDW,S28_KDH"
S01_angle,SNN,rate,max_membrane,20,0.545275888133031,0.4057971014492754,0.41068291611769875,0.4008511112504092,"S26_LDW,S28_KDH"
S01_angle,SNN,poisson,mean_current,43,0.4733563350584627,0.463768115942029,0.4681598594642073,0.4593495934959349,"S26_LDW,S28_KDH"
S01_angle,SNN,poisson,last_membrane,42,0.40155038759689915,0.4782608695652174,0.48457400087834873,0.4686596219967368,"S26_LDW,S28_KDH"
S01_angle,SNN,poisson,max_membrane,30,0.4883505598621878,0.391304347826087,0.3988252086078173,0.3682983682983683,"S26_LDW,S28_KDH"
S01_angle,SNN,delta,mean_current,19,0.563591438053418,0.2898550724637681,0.2938076416337286,0.23423423423423426,"S26_LDW,S28_KDH"
S01_angle,SNN,delta,last_membrane,19,0.45500076347533974,0.3188405797101449,0.3129666227492314,0.29474211773282305,"S26_LDW,S28_KDH"
S01_angle,SNN,delta,max_membrane,15,0.350729517396184,0.3333333333333333,0.34524593763724204,0.24754082039028277,"S26_LDW,S28_KDH"
S01_angle,SNN,adaptive_delta,mean_current,18,0.5772486772486772,0.4927536231884058,0.48819718928414574,0.47150873817540484,"S26_LDW,S28_KDH"
S01_angle,SNN,adaptive_delta,last_membrane,15,0.5670960815888352,0.36231884057971014,0.3672595520421608,0.3566687280972995,"S26_LDW,S28_KDH"
S01_angle,SNN,adaptive_delta,max_membrane,25,0.5234560420138362,0.43478260869565216,0.43522178304786996,0.4360294117647059,"S26_LDW,S28_KDH"
S01_angle,SNN,ttfs_block,mean_current,17,0.30155659942893986,0.3188405797101449,0.31285682916117696,0.2776325344952796,"S26_LDW,S28_KDH"
S01_angle,SNN,ttfs_block,last_membrane,18,0.3544055944055944,0.2898550724637681,0.29797979797979796,0.21621621621621623,"S26_LDW,S28_KDH"
S01_angle,SNN,ttfs_block,max_membrane,65,0.503702256096237,0.4492753623188406,0.4548748353096179,0.4386973180076628,"S26_LDW,S28_KDH"
S01_angle,ANN,direct,softmax,28,0.5579989044571296,0.4782608695652174,0.4864404918752745,0.45286195286195285,"S26_LDW,S28_KDH"
S02_state,SNN,direct,mean_current,26,0.46214782209179966,0.39,0.3833333333333333,0.3110989010989011,"S26_LDW,S28_KDH"
S02_state,SNN,direct,last_membrane,35,0.44219271165992485,0.33,0.3351851851851852,0.3277617172225016,"S26_LDW,S28_KDH"
S02_state,SNN,direct,max_membrane,48,0.456438127090301,0.34,0.32222222222222224,0.30337271015237116,"S26_LDW,S28_KDH"
S02_state,SNN,rate,mean_current,29,0.530034556028011,0.36,0.3333333333333333,0.2986013986013986,"S26_LDW,S28_KDH"
S02_state,SNN,rate,last_membrane,26,0.5763785817357245,0.35,0.32407407407407407,0.302298592392932,"S26_LDW,S28_KDH"
S02_state,SNN,rate,max_membrane,33,0.48229430044312077,0.32,0.3037037037037037,0.2925868817173165,"S26_LDW,S28_KDH"
S02_state,SNN,poisson,mean_current,45,0.4553791887125221,0.38,0.35185185185185186,0.34235162374020156,"S26_LDW,S28_KDH"
S02_state,SNN,poisson,last_membrane,25,0.3483430724358952,0.28,0.2740740740740741,0.27267115931518876,"S26_LDW,S28_KDH"
S02_state,SNN,poisson,max_membrane,45,0.45031564653366657,0.35,0.33148148148148143,0.3333694958694959,"S26_LDW,S28_KDH"
S02_state,SNN,delta,mean_current,25,0.482202008517798,0.4,0.3703703703703704,0.30793293293293295,"S26_LDW,S28_KDH"
S02_state,SNN,delta,last_membrane,39,0.4697326447326447,0.35,0.3314814814814815,0.3034880765859027,"S26_LDW,S28_KDH"
S02_state,SNN,delta,max_membrane,19,0.5033412713816414,0.36,0.3333333333333333,0.3008895866038723,"S26_LDW,S28_KDH"
S02_state,SNN,adaptive_delta,mean_current,24,0.5262529965259996,0.38,0.4185185185185185,0.34869835880022637,"S26_LDW,S28_KDH"
S02_state,SNN,adaptive_delta,last_membrane,14,0.5441153904060408,0.37,0.39444444444444443,0.33403525922707517,"S26_LDW,S28_KDH"
S02_state,SNN,adaptive_delta,max_membrane,19,0.541357402465568,0.4,0.4296296296296296,0.3645844895844896,"S26_LDW,S28_KDH"
S02_state,SNN,ttfs_block,mean_current,17,0.27928401512255213,0.3,0.27777777777777773,0.22508602508602507,"S26_LDW,S28_KDH"
S02_state,SNN,ttfs_block,last_membrane,42,0.38384613061337197,0.28,0.2888888888888889,0.2735653912483181,"S26_LDW,S28_KDH"
S02_state,SNN,ttfs_block,max_membrane,27,0.3245324918186068,0.33,0.31296296296296294,0.22794304602084922,"S26_LDW,S28_KDH"
S02_state,ANN,direct,softmax,16,0.5414411976911977,0.37,0.3574074074074074,0.3329500221141088,"S26_LDW,S28_KDH"
