task,fold,test_subject,val_subject,family,encoder,decoder,epochs,val_macro_f1,accuracy,balanced_accuracy,macro_f1,confusion_matrix
S01_angle,1,S07_KDM,S28_KDH,SNN,direct,mean_current,13,0.5474120082815735,0.47058823529411764,0.4621212121212121,0.4000000000000001,"[[0, 11, 0], [1, 9, 2], [0, 4, 7]]"
S01_angle,1,S07_KDM,S28_KDH,ANN,direct,softmax,44,0.3835497835497836,0.29411764705882354,0.30050505050505055,0.22564102564102562,"[[0, 11, 0], [1, 1, 10], [0, 2, 9]]"
S01_angle,2,S08_MDO,S07_KDM,SNN,direct,mean_current,15,0.46349206349206346,0.5294117647058824,0.537878787878788,0.5052469135802469,"[[5, 1, 5], [8, 3, 1], [1, 0, 10]]"
S01_angle,2,S08_MDO,S07_KDM,ANN,direct,softmax,25,0.5067096081588834,0.6764705882352942,0.6792929292929294,0.682280701754386,"[[9, 2, 0], [4, 7, 1], [0, 4, 7]]"
S01_angle,3,S09_HDH,S08_MDO,SNN,direct,mean_current,18,0.9138239538239539,0.47058823529411764,0.4666666666666666,0.380952380952381,"[[0, 12, 0], [0, 12, 0], [0, 6, 4]]"
S01_angle,3,S09_HDH,S08_MDO,ANN,direct,softmax,18,0.6858439201451906,0.6470588235294118,0.6611111111111111,0.6333333333333333,"[[3, 9, 0], [1, 10, 1], [0, 1, 9]]"
S01_angle,4,S17_RJS,S09_HDH,SNN,direct,mean_current,32,0.8848130427077795,0.3235294117647059,0.3222222222222222,0.27926322043969104,"[[8, 0, 4], [12, 0, 0], [1, 6, 3]]"
S01_angle,4,S17_RJS,S09_HDH,ANN,direct,softmax,26,0.8316624895572264,0.23529411764705882,0.23888888888888885,0.24419191919191915,"[[1, 8, 3], [8, 4, 0], [1, 6, 3]]"
S01_angle,5,S18_LJH,S17_RJS,SNN,direct,mean_current,16,0.37625861155272916,0.6470588235294118,0.6666666666666666,0.5347222222222222,"[[11, 0, 0], [2, 0, 10], [0, 0, 11]]"
S01_angle,5,S18_LJH,S17_RJS,ANN,direct,softmax,15,0.3376068376068376,0.6470588235294118,0.6666666666666666,0.5264957264957265,"[[11, 0, 0], [4, 0, 8], [0, 0, 11]]"
S01_angle,6,S19_CHW,S18_LJH,SNN,direct,mean_current,16,0.882051282051282,0.47058823529411764,0.4611111111111111,0.3846153846153846,"[[3, 7, 0], [0, 12, 0], [2, 9, 1]]"
S01_angle,6,S19_CHW,S18_LJH,ANN,direct,softmax,14,0.5410628019323672,0.4411764705882353,0.4444444444444445,0.3929292929292929,"[[5, 0, 5], [4, 1, 7], [1, 2, 9]]"
S01_angle,7,S21_PSJ,S19_CHW,SNN,direct,mean_current,26,0.7398205659075224,0.35294117647058826,0.3833333333333333,0.26666666666666666,"[[9, 1, 0], [9, 3, 0], [8, 4, 0]]"
S01_angle,7,S21_PSJ,S19_CHW,ANN,direct,softmax,32,0.796092796092796,0.35294117647058826,0.37777777777777777,0.28444444444444444,"[[8, 2, 0], [7, 4, 1], [5, 7, 0]]"
S01_angle,8,S23_KDM,S21_PSJ,SNN,direct,mean_current,23,0.31448412698412703,0.6764705882352942,0.6944444444444443,0.6188496188496188,"[[9, 0, 0], [0, 1, 11], [0, 0, 13]]"
S01_angle,8,S23_KDM,S21_PSJ,ANN,direct,softmax,14,0.275,0.6176470588235294,0.6645299145299145,0.5729323308270676,"[[9, 0, 0], [1, 11, 0], [0, 12, 1]]"
S01_angle,9,S26_LDW,S23_KDM,SNN,direct,mean_current,39,0.9147511312217195,0.5882352941176471,0.6035353535353535,0.5527777777777777,"[[8, 3, 0], [11, 1, 0], [0, 0, 11]]"
S01_angle,9,S26_LDW,S23_KDM,ANN,direct,softmax,31,0.7706816059757235,0.5294117647058824,0.5404040404040403,0.5268188392127272,"[[8, 3, 0], [10, 2, 0], [2, 1, 8]]"
S01_angle,10,S28_KDH,S26_LDW,SNN,direct,mean_current,24,0.6739130434782608,0.22857142857142856,0.23989898989898992,0.16231884057971016,"[[0, 6, 6], [0, 1, 11], [0, 4, 7]]"
S01_angle,10,S28_KDH,S26_LDW,ANN,direct,softmax,18,0.7092822636300897,0.42857142857142855,0.4292929292929293,0.35185185185185186,"[[0, 12, 0], [0, 10, 2], [0, 6, 5]]"
S02_state,1,S07_KDM,S28_KDH,SNN,rate,last_membrane,31,0.39179666119321305,0.36,0.34814814814814815,0.3691980534085797,"[[2, 1, 0, 5, 0, 1], [4, 3, 0, 2, 0, 0], [1, 1, 1, 2, 0, 0], [2, 5, 0, 1, 0, 1], [0, 0, 0, 0, 9, 0], [1, 3, 0, 3, 0, 2]]"
S02_state,1,S07_KDM,S28_KDH,ANN,direct,softmax,26,0.30655575361457715,0.5,0.4777777777777778,0.45413650676808565,"[[1, 6, 0, 2, 0, 0], [0, 7, 0, 2, 0, 0], [0, 3, 1, 0, 0, 1], [3, 0, 0, 6, 0, 0], [0, 0, 0, 0, 9, 0], [0, 8, 0, 0, 0, 1]]"
S02_state,2,S08_MDO,S07_KDM,SNN,rate,last_membrane,31,0.4537900008488244,0.36,0.37407407407407406,0.331140350877193,"[[0, 0, 5, 1, 0, 3], [1, 0, 3, 3, 0, 2], [0, 0, 2, 2, 0, 0], [3, 1, 2, 3, 0, 1], [0, 0, 0, 0, 9, 0], [5, 0, 0, 0, 0, 4]]"
S02_state,2,S08_MDO,S07_KDM,ANN,direct,softmax,20,0.5096866096866096,0.44,0.4750000000000001,0.4307997557997558,"[[3, 3, 2, 0, 0, 1], [4, 2, 1, 1, 0, 1], [0, 0, 3, 1, 0, 0], [1, 1, 1, 1, 0, 6], [0, 0, 0, 0, 9, 0], [3, 1, 1, 0, 0, 4]]"
S02_state,3,S09_HDH,S08_MDO,SNN,rate,last_membrane,31,0.548941798941799,0.6,0.6,0.5936220642102995,"[[3, 6, 0, 0, 0, 0], [3, 3, 2, 1, 0, 0], [2, 0, 3, 0, 0, 0], [0, 3, 3, 3, 0, 0], [0, 0, 0, 0, 9, 0], [0, 0, 0, 0, 0, 9]]"
S02_state,3,S09_HDH,S08_MDO,ANN,direct,softmax,27,0.4488855371208313,0.48,0.4888888888888889,0.43781512605042017,"[[4, 1, 3, 1, 0, 0], [3, 0, 6, 0, 0, 0], [2, 0, 3, 0, 0, 0], [1, 4, 4, 0, 0, 0], [0, 0, 0, 0, 9, 0], [1, 0, 0, 0, 0, 8]]"
S02_state,4,S17_RJS,S09_HDH,SNN,rate,last_membrane,28,0.5826830174656262,0.3,0.2777777777777778,0.2634920634920635,"[[3, 6, 0, 0, 0, 0], [3, 2, 1, 1, 0, 2], [2, 1, 0, 1, 0, 1], [5, 1, 2, 1, 0, 0], [0, 0, 0, 0, 9, 0], [6, 1, 2, 0, 0, 0]]"
