subject,radar,start_s,end_s,duration_s,range_centroid_excursion_bins,motion_index,interpretation
S07_KDM,1,1377.064,1400.7,23.635999999999967,7.431906528594858,0.1007981775698899,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S07_KDM,2,1377.064,1400.7,23.635999999999967,1.820988037021067,0.09305546535014908,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S07_KDM,3,1377.064,1400.7,23.635999999999967,3.16176081100042,0.1396415711689002,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S08_MDO,1,1226.092,1247.944,21.85199999999986,8.546404354639154,0.11892201539979833,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S08_MDO,2,1226.092,1247.944,21.85199999999986,1.0280359337027818,0.1062614023517093,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S08_MDO,3,1226.092,1247.944,21.85199999999986,4.19019935751302,0.1294436656565794,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S09_HDH,1,1445.035,1473.045,28.00999999999999,7.323401031733795,0.12958066858400827,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S09_HDH,2,1445.035,1473.045,28.00999999999999,1.8246751455587997,0.09488959545662118,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S09_HDH,3,1445.035,1473.045,28.00999999999999,3.2100806954644803,0.1252522889139361,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S17_RJS,1,1189.366,1214.386,25.019999999999982,5.011625393926369,0.11680056063653368,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S17_RJS,2,1189.366,1214.386,25.019999999999982,1.0563646624704504,0.11932219216656717,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S17_RJS,3,1189.366,1214.386,25.019999999999982,4.740115907101927,0.11287210550231348,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S18_LJH,1,1103.384,1127.688,24.304000000000087,4.690416852355796,0.10743018389404742,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S18_LJH,2,1103.384,1127.688,24.304000000000087,1.148454036212705,0.09533512444161032,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S18_LJH,3,1103.384,1127.688,24.304000000000087,4.384181248496173,0.1116154736497384,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S19_CHW,1,1429.692,1454.906,25.213999999999942,3.687997636605388,0.08355582659365494,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S19_CHW,2,1429.692,1454.906,25.213999999999942,1.3065089077498229,0.08625116191405867,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S19_CHW,3,1429.692,1454.906,25.213999999999942,3.552267169213991,0.10497772457835707,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S21_PSJ,1,1248.064,1270.892,22.827999999999975,7.287118609103089,0.10056230930658802,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S21_PSJ,2,1248.064,1270.892,22.827999999999975,1.1339038596448106,0.08801601808790552,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S21_PSJ,3,1248.064,1270.892,22.827999999999975,3.3712719365104427,0.1219804434567033,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S23_KDM,1,1147.392,1170.656,23.263999999999896,4.239112704533184,0.0958896484035848,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S23_KDM,2,1147.392,1170.656,23.263999999999896,0.8969804741424667,0.09067912171468873,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S23_KDM,3,1147.392,1170.656,23.263999999999896,3.491203553591575,0.11806439662861279,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S26_LDW,1,1230.52,1256.652,26.132000000000062,4.000263118614104,0.10950024784507639,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S26_LDW,2,1230.52,1256.652,26.132000000000062,1.254574617087222,0.10473881332885432,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S26_LDW,3,1230.52,1256.652,26.132000000000062,2.996463286602488,0.10497897882624718,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S28_KDH,1,1214.484,1239.976,25.49200000000019,3.2730070372154216,0.10269142553945074,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S28_KDH,2,1214.484,1239.976,25.49200000000019,1.184897945285158,0.10870004318345147,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
S28_KDH,3,1214.484,1239.976,25.49200000000019,2.4650104227934584,0.10338316666355714,왕복 움직임 존재를 보여주는 예비 지표이며 실제 거리 환산은 미보정
