fold,subject,role
1,S02_RJS,train
1,S03_PSJ,train
1,S08_MDO,train
1,S09_HDH,train
1,S10_JKH,train
1,S11_SJE,train
1,S12_KDH,train
1,S14_MDO,train
1,S15_JKH,train
1,S16_LJH,train
1,S17_RJS,train
1,S18_LJH,train
1,S19_CHW,train
1,S20_YSE,train
1,S21_PSJ,train
1,S25_GEC,train
1,S28_KDH,train
1,S30_SJE,train
1,S13_KTW,validation
1,S05_LHS,validation
1,S26_LDW,validation
1,S29_LHS,test
1,S27_HDH,test
1,S07_KDM,test
1,S04_KTW,test
1,S23_KDM,test
1,S06_LDW,test
2,S03_PSJ,train
2,S04_KTW,train
2,S07_KDM,train
2,S10_JKH,train
2,S12_KDH,train
2,S13_KTW,train
2,S14_MDO,train
2,S16_LJH,train
2,S17_RJS,train
2,S18_LJH,train
2,S20_YSE,train
2,S23_KDM,train
2,S25_GEC,train
2,S26_LDW,train
2,S27_HDH,train
2,S28_KDH,train
2,S29_LHS,train
2,S30_SJE,train
2,S06_LDW,validation
2,S02_RJS,validation
2,S08_MDO,validation
2,S11_SJE,test
2,S19_CHW,test
2,S05_LHS,test
2,S09_HDH,test
2,S15_JKH,test
2,S21_PSJ,test
3,S02_RJS,train
3,S04_KTW,train
3,S05_LHS,train
3,S06_LDW,train
3,S07_KDM,train
3,S09_HDH,train
3,S10_JKH,train
3,S11_SJE,train
3,S12_KDH,train
3,S13_KTW,train
3,S14_MDO,train
3,S15_JKH,train
3,S17_RJS,train
3,S18_LJH,train
3,S20_YSE,train
3,S26_LDW,train
3,S27_HDH,train
3,S29_LHS,train
3,S30_SJE,train
3,S19_CHW,validation
3,S23_KDM,validation
3,S21_PSJ,validation
3,S28_KDH,test
3,S08_MDO,test
3,S16_LJH,test
3,S03_PSJ,test
3,S25_GEC,test
4,S02_RJS,train
4,S03_PSJ,train
4,S04_KTW,train
4,S05_LHS,train
4,S06_LDW,train
4,S07_KDM,train
4,S08_MDO,train
4,S09_HDH,train
4,S11_SJE,train
4,S14_MDO,train
4,S15_JKH,train
4,S16_LJH,train
4,S18_LJH,train
4,S19_CHW,train
4,S21_PSJ,train
4,S23_KDM,train
4,S25_GEC,train
4,S28_KDH,train
4,S29_LHS,train
4,S12_KDH,validation
4,S20_YSE,validation
4,S27_HDH,validation
4,S17_RJS,test
4,S26_LDW,test
4,S30_SJE,test
4,S10_JKH,test
4,S13_KTW,test
5,S03_PSJ,train
5,S04_KTW,train
5,S05_LHS,train
5,S06_LDW,train
5,S07_KDM,train
5,S08_MDO,train
5,S09_HDH,train
5,S10_JKH,train
5,S11_SJE,train
5,S13_KTW,train
5,S15_JKH,train
5,S16_LJH,train
5,S19_CHW,train
5,S21_PSJ,train
5,S23_KDM,train
5,S25_GEC,train
5,S28_KDH,train
5,S29_LHS,train
5,S30_SJE,train
5,S17_RJS,validation
5,S27_HDH,validation
5,S26_LDW,validation
5,S12_KDH,test
5,S02_RJS,test
5,S14_MDO,test
5,S20_YSE,test
5,S18_LJH,test
