source,method,estimator,shift_sec,n,mae_bpm,rmse_bpm,median_ae_bpm,p90_ae_bpm,bias_bpm,sd_error_bpm,within_3bpm,within_5bpm,corr,r2,trend_acc,delta_mae_bpm,best_lag_sec,best_lag_corr
time_shift,bpf_com,fft,-10,11210,4.8976,6.0612,4.2627,10.0195,-1.6259,5.8394,0.35977,0.57279,0.023008,-1.5469,0.15385,0.84016,-3,0.026451
time_shift,bpf_com,fft,-9,11253,4.9036,6.0681,4.2627,10.0195,-1.6254,5.8466,0.35928,0.57185,0.021059,-1.5497,0.17255,0.84079,-4,0.026474
time_shift,bpf_com,fft,-8,11296,4.9089,6.0723,4.2627,9.917,-1.6241,5.8513,0.3596,0.56958,0.019914,-1.5511,0.13992,0.84445,-5,0.02639
time_shift,bpf_com,fft,-7,11339,4.9059,6.0708,4.2627,9.917,-1.6211,5.8506,0.36088,0.56883,0.02044,-1.5481,0.16098,0.83516,-5,0.024211
time_shift,bpf_com,fft,-6,11382,4.905,6.0734,4.2627,9.917,-1.6176,5.8542,0.36118,0.56932,0.019062,-1.5497,0.17362,0.8362,-5,0.022977
time_shift,bpf_com,fft,-5,11382,4.9013,6.0732,4.2627,9.917,-1.6064,5.8572,0.36145,0.5687,0.016801,-1.5495,0.15131,0.84085,-5,0.023225
time_shift,bpf_com,fft,-4,11382,4.9023,6.0763,4.2627,9.917,-1.5991,5.8624,0.36145,0.56765,0.013554,-1.5521,0.15422,0.84829,-5,0.0217
time_shift,bpf_com,fft,-3,11382,4.8998,6.073,4.2627,9.917,-1.5909,5.8612,0.36198,0.56624,0.012494,-1.5494,0.15907,0.85034,-4,0.021196
time_shift,bpf_com,fft,-2,11382,4.9005,6.0706,4.2627,9.917,-1.5847,5.8603,0.36224,0.56501,0.011127,-1.5473,0.15034,0.85362,-5,0.021044
time_shift,bpf_com,fft,-1,11382,4.8971,6.0615,4.2627,9.917,-1.5778,5.8528,0.36233,0.56396,0.01177,-1.5397,0.15422,0.84183,-5,0.018765
time_shift,bpf_com,fft,0,11382,4.8979,6.058,4.2627,9.917,-1.5718,5.8507,0.36206,0.56396,0.010919,-1.5367,0.17653,0.84665,-5,0.015636
time_shift,bpf_com,fft,1,11382,4.9044,6.0574,4.2627,9.917,-1.5635,5.8523,0.36101,0.56308,0.0091884,-1.5362,0.1581,0.8505,-5,0.011594
time_shift,bpf_com,fft,2,11382,4.9155,6.0588,4.2627,9.917,-1.5551,5.8561,0.35881,0.5622,0.0069742,-1.5375,0.14937,0.85134,-5,0.0099698
time_shift,bpf_com,fft,3,11382,4.9219,6.057,4.2627,9.8584,-1.549,5.8558,0.35732,0.56115,0.0061574,-1.5359,0.14937,0.8394,-4,0.0099657
time_shift,bpf_com,fft,4,11382,4.9322,6.0597,4.2627,9.8584,-1.5416,5.8606,0.35521,0.56018,0.0036389,-1.5382,0.15519,0.84382,-5,0.010443
time_shift,bpf_com,fft,5,11382,4.9499,6.0683,4.2627,9.8584,-1.5341,5.8714,0.35143,0.55799,-0.00069737,-1.5454,0.13191,0.84976,-5,0.009878
time_shift,bpf_com,fft,6,11382,4.9591,6.0697,4.3652,9.8584,-1.5268,5.8748,0.34888,0.55755,-0.0023671,-1.5466,0.14355,0.84778,-5,0.0079174
time_shift,bpf_com,fft,7,11376,4.9681,6.0728,4.3652,9.8584,-1.5181,5.8802,0.34722,0.55749,-0.004316,-1.5481,0.15907,0.8451,-5,0.0052392
time_shift,bpf_com,fft,8,11332,4.977,6.0758,4.3799,9.8584,-1.512,5.8849,0.34407,0.55833,-0.0066522,-1.5497,0.16438,0.84578,-5,0.0031719
time_shift,bpf_com,fft,9,11288,4.9797,6.0721,4.3799,9.8584,-1.5072,5.8824,0.34169,0.559,-0.0063667,-1.5455,0.14538,0.84337,-5,0.00039002
time_shift,bpf_com,fft,10,11244,4.9821,6.0683,4.3799,9.8584,-1.5005,5.8802,0.33894,0.55977,-0.0062275,-1.5411,0.15074,0.84511,2,-0.0032583
time_shift,bpf_tv,fft,-10,11210,4.9176,6.0031,4.3652,9.8584,-1.301,5.8607,0.34915,0.55789,-0.0064891,-1.4982,0.15187,0.83597,-2,-0.0020503
time_shift,bpf_tv,fft,-9,11253,4.9243,6.0132,4.3652,9.8584,-1.2977,5.8718,0.34844,0.55763,-0.0095612,-1.5038,0.15882,0.83227,-3,-0.0019814
time_shift,bpf_tv,fft,-8,11296,4.9361,6.0261,4.3652,9.8584,-1.2914,5.8864,0.34738,0.55666,-0.014125,-1.5124,0.15851,0.83608,-4,-0.0019125
time_shift,bpf_tv,fft,-7,11339,4.954,6.0445,4.3652,9.8584,-1.2857,5.9065,0.34562,0.55481,-0.020755,-1.5261,0.15512,0.83809,-5,-0.0018366
time_shift,bpf_tv,fft,-6,11382,4.965,6.0574,4.3652,9.873,-1.2775,5.9214,0.34475,0.55474,-0.025538,-1.5363,0.14355,0.8414,-5,-0.0034893
time_shift,bpf_tv,fft,-5,11382,4.9708,6.064,4.3799,9.873,-1.267,5.9304,0.34414,0.555,-0.028386,-1.5418,0.15034,0.83857,-5,-0.0050702
time_shift,bpf_tv,fft,-4,11382,4.9747,6.0693,4.3652,9.917,-1.2558,5.9382,0.34475,0.55623,-0.030907,-1.5462,0.16489,0.83903,-5,-0.0075267
time_shift,bpf_tv,fft,-3,11382,4.9715,6.0678,4.3652,9.917,-1.2417,5.9396,0.34581,0.55825,-0.031216,-1.5449,0.13288,0.84024,-5,-0.01152
time_shift,bpf_tv,fft,-2,11382,4.9679,6.0637,4.3213,9.917,-1.228,5.9383,0.34669,0.55957,-0.0305,-1.5415,0.1581,0.83016,-5,-0.017677
time_shift,bpf_tv,fft,-1,11382,4.968,6.0639,4.2773,9.917,-1.2135,5.9415,0.34739,0.55983,-0.031219,-1.5417,0.14161,0.8349,-5,-0.022856
time_shift,bpf_tv,fft,0,11382,4.9661,6.0601,4.2773,9.917,-1.2005,5.9402,0.34827,0.55992,-0.030492,-1.5385,0.14064,0.8343,5,-0.022368
time_shift,bpf_tv,fft,1,11382,4.9617,6.0548,4.2773,9.917,-1.1899,5.937,0.34871,0.56018,-0.02912,-1.5341,0.14549,0.83725,5,-0.021809
time_shift,bpf_tv,fft,2,11382,4.9574,6.0486,4.2773,9.873,-1.1806,5.9326,0.34941,0.56036,-0.027299,-1.5289,0.14937,0.83108,5,-0.020421
time_shift,bpf_tv,fft,3,11382,4.9493,6.0395,4.2773,9.8584,-1.1722,5.925,0.35082,0.56115,-0.024688,-1.5213,0.14161,0.83446,5,-0.016269
time_shift,bpf_tv,fft,4,11382,4.94,6.0301,4.3652,9.8584,-1.1649,5.9168,0.35143,0.56203,-0.02176,-1.5134,0.15034,0.82768,5,-0.012986
time_shift,bpf_tv,fft,5,11382,4.9337,6.0236,4.3652,9.8584,-1.1605,5.911,0.3517,0.5622,-0.019738,-1.5081,0.15519,0.82289,5,-0.010914
time_shift,bpf_tv,fft,6,11382,4.933,6.0217,4.3799,9.8584,-1.1591,5.9093,0.3502,0.56089,-0.019236,-1.5064,0.15616,0.82598,5,-0.0078389
time_shift,bpf_tv,fft,7,11376,4.9289,6.0168,4.3799,9.8584,-1.1553,5.9051,0.35021,0.5603,-0.017547,-1.5013,0.17071,0.82724,5,-0.0063113
time_shift,bpf_tv,fft,8,11332,4.9234,6.0082,4.3872,9.8584,-1.1592,5.8956,0.35016,0.56089,-0.014031,-1.4933,0.1546,0.82577,5,-0.0039611
time_shift,bpf_tv,fft,9,11288,4.9205,6.0022,4.4238,9.7559,-1.1644,5.8885,0.34949,0.5606,-0.011255,-1.4872,0.15521,0.82552,5,-0.0034398
time_shift,bpf_tv,fft,10,11244,4.9203,6.0006,4.4238,9.7559,-1.1695,5.8858,0.34916,0.56074,-0.0099283,-1.4847,0.16256,0.82962,5,-0.0030975
time_shift,bpf_mean,fft,-10,11210,4.7604,5.8529,4.1016,9.8584,-1.1026,5.7483,0.36628,0.5901,-0.003357,-1.3748,0.16371,0.86052,-5,0.0059774
