source,method,estimator,shift_sec,n,mae_bpm,rmse_bpm,median_ae_bpm,p90_ae_bpm,bias_bpm,sd_error_bpm,within_3bpm,within_5bpm,corr,r2,trend_acc,delta_mae_bpm,best_lag_sec,best_lag_corr
zero_shift_function,bpf_com,fft,0,11382,4.8979,6.058,4.2627,9.917,-1.5718,5.8507,0.36206,0.56396,0.010919,-1.5367,0.17653,0.84665,-5,0.015636
zero_shift_function,bpf_com,autocorr,0,11382,7.6336,9.3255,6.6723,15.4758,-5.9138,7.2109,0.24556,0.38983,0.015303,-5.0113,0.25412,1.5326,-3,0.02207
zero_shift_function,bpf_com,peak_interval,0,11374,4.0151,4.9698,3.4203,8.0182,-0.087886,4.9693,0.43784,0.68912,0.024193,-0.70719,0.22017,0.9785,3,0.034336
zero_shift_function,bpf_tv,fft,0,11382,4.9661,6.0601,4.2773,9.917,-1.2005,5.9402,0.34827,0.55992,-0.030492,-1.5385,0.14064,0.8343,5,-0.022368
zero_shift_function,bpf_tv,autocorr,0,11382,7.8437,9.517,6.8948,15.511,-5.9636,7.4172,0.22483,0.37963,-0.021075,-5.2608,0.2386,1.5426,-5,-0.014012
zero_shift_function,bpf_tv,peak_interval,0,11382,4.0349,4.9789,3.5273,8.1883,0.27387,4.9716,0.42796,0.68608,-0.017205,-0.71355,0.2289,0.88047,-5,-0.0077649
zero_shift_function,bpf_mean,fft,0,11382,4.8324,5.9647,4.1162,10.0781,-1.0397,5.8736,0.37138,0.57942,-0.048472,-1.4592,0.14452,0.86429,-5,-0.037157
zero_shift_function,bpf_mean,autocorr,0,11382,8.0923,9.8732,7.0647,16.4124,-6.1457,7.7276,0.23186,0.37867,-0.056083,-5.7382,0.25606,1.7126,-4,-0.044267
zero_shift_function,bpf_mean,peak_interval,0,11382,3.8682,4.786,3.3847,7.8433,0.72683,4.7307,0.44781,0.70857,-0.019914,-0.58333,0.29486,0.94855,5,-0.019492
zero_shift_function,bpf_spike_com_signed,fft,0,11382,4.9834,6.0943,4.541,9.917,2.0886,5.7255,0.35319,0.54121,-0.011175,-1.5673,0.1484,0.77781,2,-0.010036
zero_shift_function,bpf_spike_com_signed,autocorr,0,11382,8.4915,10.1248,7.806,16.3037,-5.2121,8.6806,0.19601,0.32393,0.027478,-6.086,0.21532,1.949,-5,0.032884
zero_shift_function,bpf_spike_com_signed,peak_interval,0,6922,4.162,5.0816,3.5793,8.3986,2.7422,4.2785,0.41043,0.65992,0.0188,-0.84406,0.26986,0.77322,-2,0.023302
zero_shift_function,bpf_spike_tv_signed,fft,0,11382,4.9331,6.0201,4.2627,9.917,2.1983,5.6047,0.35881,0.56554,0.012344,-1.5052,0.16198,0.76899,-1,0.013459
zero_shift_function,bpf_spike_tv_signed,autocorr,0,11382,8.2496,9.8889,7.2414,15.9727,-4.7014,8.7002,0.20128,0.34651,-0.015682,-5.7596,0.20175,1.8769,5,-0.0026674
zero_shift_function,bpf_spike_tv_signed,peak_interval,0,6665,4.2953,5.2307,3.8617,8.3986,2.8609,4.3793,0.38005,0.63661,0.0056898,-0.83505,0.27739,0.79812,-4,0.013319
zero_shift_function,raw_roi_com,fft,0,11382,9.7684,11.4552,9.6826,17.8711,2.3415,11.2138,0.15964,0.26753,-0.00080387,-8.0704,0.19593,2.983,-1,-0.00063437
zero_shift_function,raw_roi_com,autocorr,0,11382,10.1916,11.6329,10.4109,17.5842,-5.6322,10.179,0.13372,0.22052,0.016951,-8.354,0.19593,3.461,-4,0.023155
zero_shift_function,raw_roi_com,peak_interval,0,11382,5.1404,6.3584,4.4689,10.3673,3.4972,5.3104,0.34607,0.55447,-0.02451,-1.7946,0.2968,1.6657,5,-0.013455
zero_shift_function,raw_roi_tv,fft,0,11382,9.4559,11.1552,9.0674,17.71,1.6885,11.0272,0.1635,0.28194,-0.0057254,-7.6016,0.1872,2.9549,5,0.0049402
zero_shift_function,raw_roi_tv,autocorr,0,11382,9.5403,11.1505,9.2969,17.2581,-5.9255,9.4462,0.1606,0.26858,-0.0011815,-7.5943,0.17071,3.34,-2,0.005193
zero_shift_function,raw_roi_tv,peak_interval,0,11382,5.2148,6.4689,4.4326,10.4372,3.3884,5.5108,0.34511,0.5521,-0.049489,-1.8926,0.30747,1.7307,5,-0.034937
zero_shift_function,raw_spike_com_signed,fft,0,11382,9.5926,11.3943,9.0967,18.0615,2.499,11.1174,0.17563,0.29169,-0.033242,-7.9742,0.18138,2.9493,-4,-0.023177
zero_shift_function,raw_spike_com_signed,autocorr,0,11382,10.5113,11.7982,10.8857,17.3886,-8.0957,8.5827,0.10288,0.18591,0.042749,-8.6217,0.21629,3.6631,-1,0.042814
zero_shift_function,raw_spike_com_signed,peak_interval,0,11382,7.3913,8.6274,7.1702,13.5205,7.0211,5.0138,0.19048,0.34115,0.016941,-4.145,0.3356,1.6762,5,0.026804
zero_shift_function,raw_spike_tv_signed,fft,0,11382,9.4129,11.0813,9.0674,17.71,2.4656,10.804,0.15911,0.27605,0.021353,-7.488,0.20563,2.859,1,0.024225
zero_shift_function,raw_spike_tv_signed,autocorr,0,11382,10.3984,11.7625,10.6972,17.5395,-7.4879,9.0717,0.1194,0.2026,-0.030519,-8.5636,0.19108,3.5673,5,-0.011038
zero_shift_function,raw_spike_tv_signed,peak_interval,0,11382,7.0675,8.3598,6.7005,13.31,6.5102,5.2446,0.21666,0.3719,-0.017726,-3.8307,0.3453,1.6732,2,-0.016111
