method,threshold_percentile,n,mae_bpm,median_ae_bpm,stable_half_mae_bpm,moving_half_mae_bpm,corr_with_bio
BPF COM,55,780,4.7874,4.3579,4.7666,4.8081,0.070263
BPF TV,55,780,5.0028,4.4531,5.2427,4.7629,-0.057429
Spike COM signed,55,780,10.0596,9.9243,10.0497,10.0695,-0.061448
Spike TV signed,55,780,9.4241,8.9795,9.6794,9.1687,0.030373
Spike COM count,55,780,12.7168,13.7549,12.096,13.3375,-0.0097024
Spike TV count,55,780,12.5449,13.7988,11.604,13.4858,0.053661
BPF spike COM signed,55,780,4.9559,4.4751,5.0576,4.8543,-0.028424
BPF spike TV signed,55,780,4.9946,4.4604,5.26,4.7292,-0.026849
BPF spike COM count,55,780,13.3286,13.667,13.2107,13.4466,-0.035822
BPF spike TV count,55,780,13.3935,13.9014,13.38,13.4069,-0.0014731
BPF COM,65,780,4.7874,4.3579,4.8897,4.6851,0.070263
BPF TV,65,780,5.0028,4.4531,5.2395,4.7662,-0.057429
Spike COM signed,65,780,9.7612,9.4336,9.2482,10.2742,-0.065677
Spike TV signed,65,780,9.5125,9.2139,9.3117,9.7132,0.0018302
Spike COM count,65,780,12.3469,13.1689,11.7656,12.9281,0.009754
Spike TV count,65,780,12.0373,13.0884,11.1561,12.9186,0.079833
BPF spike COM signed,65,780,4.8874,4.2627,4.9766,4.7982,-0.025117
BPF spike TV signed,65,779,4.8573,4.2627,4.9518,4.7626,-0.040775
BPF spike COM count,65,780,13.3909,13.916,13.4374,13.3444,-0.040356
BPF spike TV count,65,779,13.3998,13.916,13.5709,13.2283,-0.010855
BPF COM,75,780,4.7874,4.3579,4.9124,4.6623,0.070263
BPF TV,75,780,5.0028,4.4531,5.2699,4.7357,-0.057429
Spike COM signed,75,780,9.3745,9.0821,9.1132,9.6357,-0.036546
Spike TV signed,75,780,9.5114,8.8623,9.9536,9.0692,-0.038929
Spike COM count,75,780,11.8578,12.3926,11.364,12.3517,0.039457
Spike TV count,75,780,11.7277,12.4219,10.9378,12.5177,0.082832
BPF spike COM signed,75,778,5.0448,4.043,5.2195,4.8702,-0.068324
BPF spike TV signed,75,778,4.9578,4.1382,4.9632,4.9524,-0.061591
BPF spike COM count,75,778,13.4801,13.916,13.572,13.3881,-0.014479
BPF spike TV count,75,778,13.4822,13.916,13.4808,13.4836,0.025761
BPF COM,85,780,4.7874,4.3579,4.7962,4.7785,0.070263
BPF TV,85,780,5.0028,4.4531,5.2361,4.7696,-0.057429
Spike COM signed,85,780,9.6878,9.6094,9.6827,9.6929,0.039127
Spike TV signed,85,780,9.4305,8.8476,9.2264,9.6345,0.00095313
Spike COM count,85,780,11.3513,12.0849,11.2361,11.4665,0.05171
Spike TV count,85,780,11.207,12.0849,10.8463,11.5676,0.073052
BPF spike COM signed,85,745,5.3484,4.1308,5.1396,5.5645,-0.016388
BPF spike TV signed,85,754,5.3665,4.5117,5.3748,5.3582,-0.073611
BPF spike COM count,85,745,13.6448,13.916,13.488,13.8071,0.028444
BPF spike TV count,85,754,13.9024,13.916,13.8449,13.9599,0.008219
