source,bin_shift,n,mae_bpm,median_ae_bpm,corr_with_bio,mean_rr_uwb
COM,-20,780,10.2119,9.7632,0.040623,23.8354
TV,-20,780,9.9089,9.4043,-0.02547,23.7594
COM,-19,780,10.2918,10.0196,-0.017112,23.9816
TV,-19,780,10.2497,10.0342,-0.049214,23.3648
COM,-18,780,10.1718,10.459,0.0058731,24.0039
TV,-18,780,10.0647,9.8438,-0.023131,22.9063
COM,-17,780,10.2147,9.9243,0.024072,23.6218
TV,-17,780,10.0095,9.6753,-0.046181,24.2501
COM,-16,780,10.2189,10.0049,-0.01433,24.0557
TV,-16,780,9.6774,9.4776,0.012306,22.9606
COM,-15,780,10.6822,10.8692,-0.048316,23.6512
TV,-15,780,9.9548,9.5215,0.017717,23.2304
COM,-14,780,10.3894,10.144,-0.012919,24.4429
TV,-14,780,9.7312,9.3238,0.0049792,23.5535
COM,-13,780,10.2193,10.2539,-0.016173,23.7891
TV,-13,780,9.9678,9.5728,-0.0026238,22.9079
COM,-12,780,10.3835,10.4077,0.029046,23.7141
TV,-12,780,9.6899,9.2652,0.017347,23.4497
COM,-11,780,10.422,10.2466,-0.044101,24.2233
TV,-11,780,9.7746,9.5655,-0.019209,23.1569
COM,-10,780,10.4304,10.4297,-0.06248,23.5602
TV,-10,780,9.732,9.2798,0.0079475,22.8188
COM,-9,780,10.4868,10.2539,0.0076761,24.3127
TV,-9,780,9.8376,9.4848,0.0060737,23.769
COM,-8,780,10.0395,9.895,-0.0057778,24.1473
TV,-8,780,9.9025,9.7265,0.018156,23.4427
COM,-7,780,10.1342,9.9389,-0.017543,23.2163
TV,-7,780,9.6199,8.9648,0.001073,23.9305
COM,-6,780,10.4017,10.2905,0.025978,24.102
TV,-6,780,9.7067,9.7559,0.064596,23.1094
COM,-5,780,10.1596,10.122,-0.017993,23.2725
TV,-5,780,9.926,9.5288,-0.027799,22.9347
COM,-4,780,9.9891,9.9976,0.03947,23.6058
TV,-4,780,9.6679,9.5654,0.052604,23.707
COM,-3,780,10.1397,10.1807,0.0032673,23.3693
TV,-3,780,9.6889,9.2945,0.036779,23.3313
COM,-2,780,10.0795,9.9902,-0.05153,23.178
TV,-2,780,9.9443,9.5728,0.017821,23.406
COM,-1,780,10.1437,10.166,0.035889,23.3999
TV,-1,780,9.6843,9.5068,0.050278,23.4644
COM,0,780,10.0084,10.1367,0.022496,23.466
TV,0,780,9.7705,9.0015,-0.025531,22.6567
COM,1,780,9.9785,10.1807,-0.0072712,23.2304
TV,1,780,9.6498,9.4336,0.022698,23.103
COM,2,780,9.8287,9.9023,0.028493,22.649
TV,2,780,9.5978,9.1259,0.00937,22.7754
COM,3,780,9.9806,9.9316,0.0021015,22.6148
TV,3,780,9.915,9.7266,-0.00021954,22.5887
COM,4,780,9.9406,9.917,0.045319,22.8703
TV,4,780,9.7791,9.4703,-0.028106,23.0762
COM,5,780,9.6954,9.6021,0.058476,22.7636
TV,5,780,9.9981,9.5508,-0.012552,22.7978
COM,6,780,9.9955,10.3198,0.02468,23.1228
TV,6,780,9.8901,9.6826,-0.039008,22.7518
COM,7,780,9.7792,9.8437,0.036003,22.6187
TV,7,780,9.4601,8.8476,0.011312,22.499
COM,8,780,9.9625,9.873,0.065945,23.0273
TV,8,780,9.9264,9.7119,0.044359,22.5794
COM,9,780,9.7889,9.8877,0.012313,23.1282
TV,9,780,9.3856,8.7086,-0.0091206,22.5714
COM,10,780,10.0342,9.9902,-0.023521,22.8562
TV,10,780,9.3355,8.833,0.047539,22.3942
COM,11,780,9.4953,9.2432,0.04198,22.4887
TV,11,780,9.7363,9.3091,0.0063977,22.2579
COM,12,780,9.8271,9.6607,0.019403,22.5484
TV,12,780,8.9619,8.1812,0.032075,22.4504
COM,13,780,9.9837,9.7559,0.0031929,23.2151
TV,13,780,9.7987,9.5215,-0.0077734,22.2541
COM,14,780,9.7374,9.7632,-0.0018064,22.8166
TV,14,780,9.4907,8.7012,-0.014584,22.135
COM,15,780,9.9808,9.7632,-0.027708,23.0707
TV,15,780,9.3484,8.9135,0.022045,23.0966
COM,16,780,9.79,9.4995,0.0020764,22.8278
TV,16,780,9.7297,9.7485,0.0030393,22.1717
COM,17,780,9.9019,9.668,-0.023811,22.7205
TV,17,780,9.3652,8.4228,-0.032194,22.4511
COM,18,780,9.7833,9.6021,-0.059045,22.9782
TV,18,780,9.558,9.4336,0.04901,22.5781
COM,19,780,9.7398,9.2066,-0.015767,23.027
TV,19,780,9.7319,9.0966,-0.035804,21.8026
COM,20,780,9.8718,9.7339,-0.048988,22.483
TV,20,780,9.3061,8.6059,0.0077068,22.7173
