source,time_shift_sec,n,mae_bpm,median_ae_bpm,corr_with_bio,mean_rr_uwb,mean_rr_bio
COM,-10,737,4.7035,3.9698,0.04165,19.6154,21.1354
TV,-10,737,4.8688,4.2774,-0.0085716,19.9202,21.1354
COM,-9.5,737,4.6956,3.9551,0.041241,19.7053,21.1354
TV,-9.5,737,4.8678,4.2774,-0.019271,19.9259,21.1354
COM,-9,737,4.6309,3.9257,0.057623,19.7107,21.1354
TV,-9,737,4.8554,4.292,-0.017475,19.9374,21.1354
COM,-8.5,737,4.6716,3.9551,0.044337,19.7512,21.1354
TV,-8.5,737,4.8436,4.2627,-0.014292,20.0084,21.1354
COM,-8,737,4.6776,4.0137,0.052184,19.6624,21.1354
TV,-8,737,4.8341,4.1894,-0.0099004,19.984,21.1354
COM,-7.5,737,4.7261,4.0137,0.031102,19.6519,21.1354
TV,-7.5,737,4.8526,4.2627,0.00013957,19.9121,21.1354
COM,-7,737,4.7592,4.043,0.022242,19.7921,21.1354
TV,-7,737,4.8785,4.292,-0.013898,20.0195,21.1354
COM,-6.5,737,4.7116,4.0137,0.023123,19.7925,21.1354
TV,-6.5,737,4.9244,4.3506,-0.018148,20.0327,21.1354
COM,-6,780,4.7779,4.1528,0.033877,19.5787,21.0994
TV,-6,780,4.952,4.27,-0.022977,19.9455,21.0994
COM,-5.5,780,4.7937,4.1967,0.035297,19.5305,21.0994
TV,-5.5,780,4.9684,4.3066,-0.026177,19.8708,21.0994
COM,-5,780,4.811,4.1821,0.023918,19.563,21.0994
TV,-5,780,5.0066,4.4531,-0.032345,19.9289,21.0994
COM,-4.5,780,4.8185,4.2041,0.02093,19.5378,21.0994
TV,-4.5,780,5.0423,4.3872,-0.056892,19.835,21.0994
COM,-4,780,4.8082,4.1455,0.021284,19.5404,21.0994
TV,-4,780,5.049,4.3652,-0.063567,19.8194,21.0994
COM,-3.5,780,4.7879,4.1089,0.031638,19.5541,21.0994
TV,-3.5,780,5.0481,4.3652,-0.067951,19.8705,21.0994
COM,-3,780,4.8058,4.1308,0.038534,19.4701,21.0994
