feature,threshold_percentile,lambda,accuracy,macro_f1,mean_fold_accuracy,mean_fold_macro_f1,feature_dim
raw_delta_magnitude,NaN,0.1,0.79141,0.79071,0.79016,0.78808,722
raw_delta_magnitude,NaN,1,0.80462,0.80415,0.80329,0.80158,722
raw_delta_magnitude,NaN,10,0.84025,0.83993,0.83849,0.83758,722
delta_onoff_spike_count,65,0.1,0.83719,0.83706,0.83638,0.83596,1444
delta_onoff_spike_count,65,1,0.83908,0.83893,0.83826,0.83786,1444
delta_onoff_spike_count,65,10,0.85913,0.85923,0.85829,0.85821,1444
delta_onoff_spike_count,75,0.1,0.81288,0.81282,0.81188,0.81137,1444
delta_onoff_spike_count,75,1,0.81949,0.81949,0.81847,0.81801,1444
delta_onoff_spike_count,75,10,0.84733,0.84706,0.84622,0.84568,1444
delta_onoff_spike_count,85,0.1,0.74965,0.74827,0.7486,0.74711,1444
delta_onoff_spike_count,85,1,0.75413,0.75282,0.75308,0.75165,1444
delta_onoff_spike_count,85,10,0.78433,0.78327,0.78317,0.78191,1444
delta_onoff_spike_count,90,0.1,0.69396,0.693,0.69291,0.69161,1444
delta_onoff_spike_count,90,1,0.70033,0.69948,0.69921,0.69796,1444
delta_onoff_spike_count,90,10,0.73053,0.72974,0.72941,0.72825,1444
delta_onoff_spike_count,95,0.1,0.58872,0.58793,0.58844,0.58692,1444
delta_onoff_spike_count,95,1,0.59556,0.59491,0.59531,0.59397,1444
delta_onoff_spike_count,95,10,0.62412,0.62424,0.62337,0.62281,1444
